Date/Time,Step Count (count),Source
2022-03-24 00:00:00,6875,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-25 00:00:00,2568,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-26 00:00:00,3402,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-27 00:00:00,3029,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-28 00:00:00,6042,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-29 00:00:00,5227,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-30 00:00:00,9965,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-03-31 00:00:00,2473,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-01 00:00:00,4467,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-02 00:00:00,4987,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-03 00:00:00,3378,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-04 00:00:00,1304,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-05 00:00:00,4468,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-06 00:00:00,4710,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-07 00:00:00,4777,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-08 00:00:00,10225,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-09 00:00:00,4254,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-10 00:00:00,5873,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-11 00:00:00,7092,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-12 00:00:00,7354,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-13 00:00:00,6569,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-14 00:00:00,7195,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-15 00:00:00,8274,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-16 00:00:00,6379,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-17 00:00:00,950,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-18 00:00:00,1988,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-19 00:00:00,5314,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-20 00:00:00,6068,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-21 00:00:00,1754,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-22 00:00:00,8709,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-23 00:00:00,9800,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-24 00:00:00,8620,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-25 00:00:00,6648,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-26 00:00:00,8715,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-27 00:00:00,2741,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-28 00:00:00,526.44,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-29 00:00:00,3105,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-04-30 00:00:00,3494,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-05-01 00:00:00,4299,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-05-02 00:00:00,2841,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-05-03 00:00:00,138,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-05-04 00:00:00,16762,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-05-05 00:00:00,565,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-05-06 00:00:00,2529,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
